train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
86,8440;1,2668;79,4300;1,5126;56,5103
87,0880;1,2654;79,1700;1,5027;53,9793
87,1580;1,2565;79,7500;1,5027;56,4690
87,5860;1,2531;79,3700;1,5074;56,5655
87,4520;1,2513;80,2500;1,4945;55,8552
87,3780;1,2525;79,9700;1,4841;56,8138
87,7500;1,2412;80,2100;1,4671;57,4207
87,5600;1,2442;80,1600;1,4696;55,6690
87,7900;1,2387;79,7800;1,4935;57,0138
87,8460;1,2334;80,4100;1,4654;57,7241
87,9460;1,2310;80,2900;1,4684;58,1448
88,2300;1,2289;80,2100;1,4850;56,7793
87,9480;1,2344;80,5700;1,4852;56,1862
88,3660;1,2222;80,2600;1,4852;56,9310
88,4540;1,2181;80,4600;1,4673;57,4483
88,5320;1,2153;80,5900;1,4718;57,7034
88,4880;1,2166;80,7000;1,4583;59,0690
88,5520;1,2134;80,1500;1,4712;57,4414
88,7360;1,2104;80,5600;1,4602;57,0138
88,7980;1,2055;80,8100;1,4567;57,7310
88,9160;1,2039;80,8100;1,4514;58,3379
88,9520;1,1987;80,7600;1,4546;58,2552
88,9000;1,2016;80,7200;1,4559;57,4690
89,0260;1,1959;81,0600;1,4526;58,3586
89,2540;1,1932;81,1500;1,4474;58,0414
89,0400;1,1942;81,2000;1,4365;58,3586
89,2780;1,1897;81,1900;1,4417;57,5862
89,1060;1,1927;80,8900;1,4470;57,1517
89,2120;1,1895;81,0800;1,4406;58,0966
89,1560;1,1937;81,0900;1,4433;58,2759
89,3900;1,1861;81,2700;1,4420;57,8552
89,5120;1,1820;81,1500;1,4358;59,0069
89,3920;1,1843;81,3600;1,4352;57,9517
89,5240;1,1817;81,3400;1,4348;58,5379
89,5400;1,1801;81,2300;1,4409;58,8345
89,5140;1,1813;81,2100;1,4314;58,2483
89,6440;1,1776;81,3500;1,4389;58,4000
89,5380;1,1786;81,3000;1,4353;58,6759
89,5920;1,1798;81,4400;1,4294;59,4483
89,4940;1,1797;81,5400;1,4370;59,4759
89,6560;1,1742;81,3700;1,4441;59,3586
89,5760;1,1774;81,3800;1,4432;58,8138
89,2860;1,1812;81,3400;1,4405;58,7034
89,8380;1,1737;81,3100;1,4382;59,2414
89,5560;1,1805;81,2400;1,4397;58,9103
